"captured_at","market_id","condition_id","market_start_timestamp","market_resolution_timestamp","seconds_to_resolution","yes_token_id","no_token_id","best_ask_yes","best_ask_no","best_bid_yes","best_bid_no","market_probability","btc_price","btc_return_1m","btc_return_5m","btc_return_15m","btc_volatility_15m","source_status","error"
"2026-06-17T12:49:35.450054+00:00","btc-updown-5m-1781700300","0xc46bb6546d7cc05c972ae26d1ad0dbb3000b9f115511fcffd9d6434ae3cbe182","2026-06-16T12:53:40.876860+00:00","2026-06-17T12:50:00+00:00","24","79494582102486325783067873798097594644113543856288214123338744299603228284799","32462213968597043990883885886533973973752820156333651922578200942644679592888","","0.01","","","","64948.92","-0.00047384021873908555","0.0014463006158957903","0.0034535133739634905","0.0004417153284435509","PARTIAL","yes_book=http_json failed url=https://clob.polymarket.com/book?token_id=79494582102486325783067873798097594644113543856288214123338744299603228284799 error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out')); btc_binance=http_json failed url=https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1m&limit=32 error=<HTTPError 451: ''>"
"2026-06-17T12:49:52.879354+00:00","btc-updown-5m-1781700300","0xc46bb6546d7cc05c972ae26d1ad0dbb3000b9f115511fcffd9d6434ae3cbe182","2026-06-16T12:53:40.876860+00:00","2026-06-17T12:50:00+00:00","7","79494582102486325783067873798097594644113543856288214123338744299603228284799","32462213968597043990883885886533973973752820156333651922578200942644679592888","","","","","","64964.56","-0.00023314970165300153","0.0016874535117659129","0.003695149615938975","0.0004184146746044378","PARTIAL","yes_book=http_json failed url=https://clob.polymarket.com/book?token_id=79494582102486325783067873798097594644113543856288214123338744299603228284799 error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out')); no_book=http_json failed url=https://clob.polymarket.com/book?token_id=32462213968597043990883885886533973973752820156333651922578200942644679592888 error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out')); btc_binance=http_json failed url=https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1m&limit=32 error=<HTTPError 451: ''>"
"2026-06-17T12:50:12.388069+00:00","btc-updown-5m-1781700600","0x77dac2d11c2cd8ce213bd06b1df731147e4b38e9c9ba2d4771cb06222105a99d","2026-06-16T12:58:32.242410+00:00","2026-06-17T12:55:00+00:00","287","18875188211755118579986316867453166899564642111203480225829599144231805525927","94972588885976869293818214915406680765662006809541308023209223417589405971348","0.47","0.54","0.46","0.53","0.47","65020.0","-1.5379880746735353e-07","0.0008310499598174204","0.003178480448434051","0.000414312806994337","OK",""
"2026-06-17T12:50:29.637962+00:00","btc-updown-5m-1781700600","0x77dac2d11c2cd8ce213bd06b1df731147e4b38e9c9ba2d4771cb06222105a99d","2026-06-16T12:58:32.242410+00:00","2026-06-17T12:55:00+00:00","270","18875188211755118579986316867453166899564642111203480225829599144231805525927","94972588885976869293818214915406680765662006809541308023209223417589405971348","0.5","0.51","0.49","0.5","0.5","64968.345","","","","","PARTIAL","btc_binance=http_json failed url=https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1m&limit=32 error=<HTTPError 451: ''>; btc_coinbase_candles=http_json failed url=https://api.coinbase.com/api/v3/brokerage/market/products/BTC-USD/candles?granularity=ONE_MINUTE&limit=32 error=TimeoutError('The read operation timed out')"
"2026-06-17T12:50:48.525526+00:00","btc-updown-5m-1781700600","0x77dac2d11c2cd8ce213bd06b1df731147e4b38e9c9ba2d4771cb06222105a99d","2026-06-16T12:58:32.242410+00:00","2026-06-17T12:55:00+00:00","251","18875188211755118579986316867453166899564642111203480225829599144231805525927","94972588885976869293818214915406680765662006809541308023209223417589405971348","","0.69","","0.68","","64988.19","-0.0004893878053848777","0.00034140930003245806","0.002687691345649279","0.0004490456792810054","PARTIAL","yes_book=http_json failed url=https://clob.polymarket.com/book?token_id=18875188211755118579986316867453166899564642111203480225829599144231805525927 error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out'))"
"2026-06-17T12:51:03.610933+00:00","btc-updown-5m-1781700600","0x77dac2d11c2cd8ce213bd06b1df731147e4b38e9c9ba2d4771cb06222105a99d","2026-06-16T12:58:32.242410+00:00","2026-06-17T12:55:00+00:00","236","18875188211755118579986316867453166899564642111203480225829599144231805525927","94972588885976869293818214915406680765662006809541308023209223417589405971348","0.27","","0.26","","0.27","64928.45","9.70308259229391e-06","0.0005115936836670443","0.0023872299024512156","0.00041694389379271803","PARTIAL","no_book=http_json failed url=https://clob.polymarket.com/book?token_id=94972588885976869293818214915406680765662006809541308023209223417589405971348 error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out')); btc_binance=http_json failed url=https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1m&limit=32 error=<HTTPError 451: ''>"
"2026-06-17T12:51:17.461257+00:00","btc-updown-5m-1781700600","0x77dac2d11c2cd8ce213bd06b1df731147e4b38e9c9ba2d4771cb06222105a99d","2026-06-16T12:58:32.242410+00:00","2026-06-17T12:55:00+00:00","222","18875188211755118579986316867453166899564642111203480225829599144231805525927","94972588885976869293818214915406680765662006809541308023209223417589405971348","0.39","0.68","0.38","0.67","0.39","64937.64","0.00015124487469320158","0.0006532065135738119","0.0025291082106937424","0.00041360753950670323","PARTIAL","btc_binance=http_json failed url=https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1m&limit=32 error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out'))"
"2026-06-17T12:51:32.407513+00:00","btc-updown-5m-1781700600","0x77dac2d11c2cd8ce213bd06b1df731147e4b38e9c9ba2d4771cb06222105a99d","2026-06-16T12:58:32.242410+00:00","2026-06-17T12:55:00+00:00","207","18875188211755118579986316867453166899564642111203480225829599144231805525927","94972588885976869293818214915406680765662006809541308023209223417589405971348","","0.67","","0.66","","65008.8","0.0003171345439840767","0.000728431679820174","0.00265436087894666","0.00040114152888619226","PARTIAL","yes_book=http_json failed url=https://clob.polymarket.com/book?token_id=18875188211755118579986316867453166899564642111203480225829599144231805525927 error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out'))"
"2026-06-17T12:51:47.198190+00:00","btc-updown-5m-1781700600","0x77dac2d11c2cd8ce213bd06b1df731147e4b38e9c9ba2d4771cb06222105a99d","2026-06-16T12:58:32.242410+00:00","2026-06-17T12:55:00+00:00","192","18875188211755118579986316867453166899564642111203480225829599144231805525927","94972588885976869293818214915406680765662006809541308023209223417589405971348","0.27","0.77","0.26","0.76","0.27","64937.63","0.00015109085750908413","0.0006530524190906384","0.0025289538273332024","0.0004136094385401725","PARTIAL","btc_binance=http_json failed url=https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1m&limit=32 error=<HTTPError 451: ''>"
"2026-06-17T12:52:11.513723+00:00","btc-updown-5m-1781700600","0x77dac2d11c2cd8ce213bd06b1df731147e4b38e9c9ba2d4771cb06222105a99d","2026-06-16T12:58:32.242410+00:00","2026-06-17T12:55:00+00:00","168","18875188211755118579986316867453166899564642111203480225829599144231805525927","94972588885976869293818214915406680765662006809541308023209223417589405971348","0.23","0.79","0.21","0.77","0.23","64926.21","-0.0001758610531366056","-0.0001818657236546395","0.0029427343887939994","0.00041215494369049405","PARTIAL","btc_binance=http_json failed url=https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1m&limit=32 error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out'))"
