market_id,timestamp,open_timestamp,resolution_timestamp,market_probability,btc_price,btc_return_1m,btc_return_5m,btc_return_15m,btc_volatility_15m,final_outcome,outcome
btc-updown-5m-1781411100,1781411299,1781411100,1781411400,0.0850000000,64470.0100000000,-0.0000310212,-0.0005509603,-0.0004400110,0.0001086782,Down,0
btc-updown-5m-1781411400,1781411584,1781411400,1781411700,0.4150000000,64464.5000000000,-0.0001475013,-0.0000854661,-0.0008601984,0.0001016085,Down,0
btc-updown-5m-1781411700,1781411885,1781411700,1781412000,0.0850000000,64437.6800000000,0.0000000000,-0.0004160429,-0.0010521575,0.0001107258,Down,0
btc-updown-5m-1781412000,1781412188,1781412000,1781412300,0.0550000000,64396.3000000000,-0.0001506071,-0.0006421709,-0.0011433223,0.0001137574,Down,0
btc-updown-5m-1781412300,1781412484,1781412300,1781412600,0.1450000000,64376.0000000000,0.0000394573,-0.0003152355,-0.0013728486,0.0001626661,Down,0
btc-updown-5m-1781412600,1781412784,1781412600,1781412900,0.1150000000,64334.0000000000,-0.0004042883,-0.0006524170,-0.0016089965,0.0002144895,Down,0
btc-updown-5m-1781412900,1781413084,1781412900,1781413200,0.9550000000,64380.0000000000,0.0000001553,0.0007150185,-0.0002531201,0.0002463749,Down,0
btc-updown-5m-1781413200,1781413384,1781413200,1781413500,0.9050000000,64385.5600000000,0.0001478811,0.0000863622,0.0001485025,0.0003060652,Up,1
btc-updown-5m-1781413500,1781413684,1781413500,1781413800,0.5050000000,64388.7900000000,0.0001724200,0.0000501665,0.0008516492,0.0002626117,Down,0
btc-updown-5m-1781413800,1781413999,1781413800,1781414100,0.3150000000,64335.3400000000,-0.0001656669,-0.0008301134,-0.0006936937,0.0002747957,Down,0
btc-updown-5m-1781414100,1781414286,1781414100,1781414400,0.2050000000,64348.0100000000,0.0000623213,0.0001969369,-0.0005832053,0.0002644974,Down,0
btc-updown-5m-1781414400,1781414584,1781414400,1781414700,0.3850000000,64352.1200000000,0.0000000000,0.0000638714,-0.0005695091,0.0002602282,Down,0
btc-updown-5m-1781414700,1781414884,1781414700,1781415000,0.0450000000,64312.9600000000,-0.0000001555,-0.0006085270,-0.0003478648,0.0002462039,Down,0
btc-updown-5m-1781415000,1781415184,1781415000,1781415300,0.5450000000,64293.4200000000,-0.0000591005,-0.0003038268,-0.0008483557,0.0001164143,Up,1
btc-updown-5m-1781415300,1781415484,1781415300,1781415600,0.7950000000,64337.4000000000,-0.0000240912,0.0006840513,-0.0002287415,0.0001739337,Up,1
btc-updown-5m-1781415600,1781415784,1781415600,1781415900,0.3800000000,64386.0100000000,0.0002429689,0.0007555481,0.0011358519,0.0001662129,Up,1
btc-updown-5m-1781415900,1781416084,1781415900,1781416200,0.5550000000,64363.2200000000,-0.0000278101,-0.0003539589,0.0010856476,0.0001908745,Down,0
btc-updown-5m-1781416200,1781416384,1781416200,1781416500,0.6150000000,64376.3700000000,-0.0000905530,0.0002043092,0.0006057130,0.0001652348,Up,1
btc-updown-5m-1781416500,1781416685,1781416500,1781416800,0.2950000000,64357.1800000000,0.0000730353,-0.0002980907,-0.0004477681,0.0001627940,Down,0
btc-updown-5m-1781416800,1781416984,1781416800,1781417100,0.9750000000,64411.3300000000,-0.0001456053,0.0008413980,0.0007474766,0.0002658625,Up,1
btc-updown-5m-1781417100,1781417284,1781417100,1781417400,0.6750000000,64457.2200000000,0.0000162901,0.0007124523,0.0012558956,0.0002993246,Up,1
btc-updown-5m-1781417400,1781417585,1781417400,1781417700,0.2650000000,64451.0400000000,-0.0001320208,-0.0000958775,0.0014584231,0.0003189449,Up,1
btc-updown-5m-1781417700,1781417884,1781417700,1781418000,0.1150000000,64446.8900000000,-0.0000716818,-0.0000643900,0.0005520768,0.0002611860,Down,0
btc-updown-5m-1781418000,1781418185,1781418000,1781418300,0.0750000000,64371.8000000000,-0.0004852255,-0.0011651454,-0.0013252200,0.0002564029,Down,0
btc-updown-5m-1781418300,1781418485,1781418300,1781418600,0.1650000000,64349.8000000000,0.0001736126,-0.0003417646,-0.0015708048,0.0002237113,Up,1
btc-updown-5m-1781418600,1781418784,1781418600,1781418900,0.0750000000,64314.2100000000,-0.0002454531,-0.0005530709,-0.0020587495,0.0003020274,Down,0
btc-updown-5m-1781418900,1781419087,1781418900,1781419200,0.0550000000,64260.8300000000,0.0000504221,-0.0008299876,-0.0017238915,0.0003200870,Down,0
btc-updown-5m-1781419200,1781419385,1781419200,1781419500,0.7050000000,64266.0100000000,-0.0001252449,0.0000806090,-0.0013021019,0.0003493897,Up,1
btc-updown-5m-1781419500,1781419699,1781419500,1781419800,0.8650000000,64279.9900000000,0.0001734900,0.0002175333,-0.0005320753,0.0002847590,Up,1
btc-updown-5m-1781419800,1781419984,1781419800,1781420100,0.4750000000,64256.0100000000,-0.0001554477,-0.0003730554,-0.0000750068,0.0002330211,Down,0
btc-updown-5m-1781420100,1781420300,1781420100,1781420400,0.9150000000,64281.5300000000,-0.0000693775,0.0003971613,0.0002414962,0.0001800228,Up,1
btc-updown-5m-1781420400,1781420584,1781420400,1781420700,0.3750000000,64283.4000000000,-0.0000367111,0.0000290908,0.0000530492,0.0001322589,Up,1
btc-updown-5m-1781420700,1781420884,1781420700,1781421000,0.0550000000,64231.7900000000,-0.0001523935,-0.0008028511,-0.0003769297,0.0001497550,Down,0
btc-updown-5m-1781421000,1781421185,1781421000,1781421300,0.6850000000,64249.9900000000,-0.0000001556,0.0002833488,-0.0004906542,0.0001338963,Down,0
btc-updown-5m-1781421300,1781421485,1781421300,1781421600,0.9750000000,64287.9900000000,-0.0000001556,0.0005914398,0.0000714026,0.0002753837,Up,1
btc-updown-5m-1781421600,1781421784,1781421600,1781421900,0.9050000000,64332.7200000000,-0.0000840870,0.0006957754,0.0015713403,0.0002493182,Up,1
btc-updown-5m-1781421900,1781422084,1781421900,1781422200,0.6650000000,64371.9900000000,0.0000933723,0.0006104203,0.0018988330,0.0002756233,Down,0
btc-updown-5m-1781422200,1781422384,1781422200,1781422500,0.0650000000,64345.3100000000,0.0003311361,-0.0004144660,0.0008916129,0.0002180827,Down,0
btc-updown-5m-1781422500,1781422685,1781422500,1781422800,0.3350000000,64306.6200000000,-0.0004411285,-0.0006012870,-0.0004057033,0.0002437759,Down,0
btc-updown-5m-1781422800,1781422984,1781422800,1781423100,0.4250000000,64298.0600000000,-0.0002795570,-0.0001331123,-0.0011484809,0.0002120360,Down,0
btc-updown-5m-1781423100,1781423284,1781423100,1781423400,0.9950000000,64405.5900000000,-0.0001263706,0.0016723677,0.0009368204,0.0003183237,Up,1
btc-updown-5m-1781423400,1781423585,1781423400,1781423700,0.5000000000,64415.6800000000,-0.0000001552,0.0001566634,0.0016959374,0.0002724872,Up,1
btc-updown-5m-1781423700,1781423885,1781423700,1781424000,0.9150000000,64426.4000000000,-0.0002456464,0.0001664191,0.0019960167,0.0002609845,Up,1
btc-updown-5m-1781424000,1781424184,1781424000,1781424300,0.0550000000,64402.0100000000,0.0000000000,-0.0003785715,-0.0000555852,0.0001487868,Down,0
btc-updown-5m-1781424300,1781424484,1781424300,1781424600,0.9350000000,64438.0000000000,0.0002530203,0.0005588335,0.0003464995,0.0001729881,Up,1
btc-updown-5m-1781424600,1781424784,1781424600,1781424900,0.3050000000,64432.6800000000,-0.0001868268,-0.0000825600,0.0000974756,0.0001750276,Down,0
btc-updown-5m-1781424900,1781425084,1781424900,1781425200,0.9650000000,64505.2000000000,0.0001573764,0.0011255158,0.0016022792,0.0002396715,Up,1
btc-updown-5m-1781425200,1781425385,1781425200,1781425500,0.1250000000,64504.8000000000,0.0002541542,-0.0000062011,0.0010366554,0.0002438696,Down,0
btc-updown-5m-1781425500,1781425685,1781425500,1781425800,0.1850000000,64480.7900000000,0.0000435808,-0.0003722204,0.0007466708,0.0002477675,Down,0
btc-updown-5m-1781425800,1781425984,1781425800,1781426100,0.0550000000,64448.1100000000,-0.0001224091,-0.0005068176,-0.0008850449,0.0001531426,Down,0
btc-updown-5m-1781426100,1781426284,1781426100,1781426400,0.7450000000,64502.0000000000,0.0000310078,0.0008361766,-0.0000434076,0.0001931039,Down,0
btc-updown-5m-1781426400,1781426584,1781426400,1781426700,0.5750000000,64471.7300000000,0.0000001551,-0.0004692878,-0.0001405070,0.0002336265,Up,1
btc-updown-5m-1781426700,1781426884,1781426700,1781427000,0.5250000000,64478.8100000000,0.0000001551,0.0001098156,0.0004763522,0.0002263087,Down,0
btc-updown-5m-1781427000,1781427185,1781427000,1781427300,0.4850000000,64452.4800000000,-0.0001276747,-0.0004083512,-0.0007677281,0.0002182078,Up,1
btc-updown-5m-1781427300,1781427484,1781427300,1781427600,0.3150000000,64451.2200000000,-0.0002142247,-0.0000195493,-0.0003181239,0.0002012836,Down,0
btc-updown-5m-1781427600,1781427786,1781427600,1781427900,0.2900000000,64442.6600000000,0.0001224494,-0.0001328136,-0.0005606493,0.0002493141,Up,1
btc-updown-5m-1781427900,1781428084,1781427900,1781428200,0.2050000000,64458.2000000000,0.0000656282,0.0002411446,0.0000887476,0.0002705953,Down,0
btc-updown-5m-1781428200,1781428384,1781428200,1781428500,0.3650000000,64430.1100000000,-0.0001489765,-0.0004357863,-0.0003275345,0.0002415082,Down,0
btc-updown-5m-1781428500,1781428685,1781428500,1781428800,0.0950000000,64367.8000000000,-0.0004329483,-0.0009670944,-0.0011616529,0.0002303594,Down,0
btc-updown-5m-1781428800,1781428984,1781428800,1781429100,0.7800000000,64358.0000000000,0.0000091676,-0.0001522500,-0.0015544958,0.0002546572,Up,1
btc-updown-5m-1781429100,1781429284,1781429100,1781429400,0.7850000000,64351.9600000000,0.0000348098,-0.0000938500,-0.0012129422,0.0003044081,Up,1
btc-updown-5m-1781429400,1781429584,1781429400,1781429700,0.9650000000,64496.0000000000,0.0013166967,0.0022383157,0.0019916791,0.0004318317,Up,1
btc-updown-5m-1781429700,1781429885,1781429700,1781430000,0.3650000000,64480.0000000000,0.0002482005,-0.0002480774,0.0018956462,0.0004206048,Up,1
btc-updown-5m-1781430000,1781430185,1781430000,1781430300,0.9250000000,64538.5800000000,-0.0001459379,0.0009084988,0.0028999894,0.0004944496,Up,1
btc-updown-5m-1781430300,1781430485,1781430300,1781430600,0.6750000000,64574.0000000000,0.0000621032,0.0005488190,0.0012093773,0.0003820817,Up,1
btc-updown-5m-1781430600,1781430785,1781430600,1781430900,0.6750000000,64602.0300000000,0.0003411273,0.0004340756,0.0018925248,0.0003719066,Up,1
btc-updown-5m-1781430900,1781431084,1781430900,1781431200,0.6550000000,64616.0000000000,0.0000283220,0.0002162471,0.0011995926,0.0001812737,Up,1
btc-updown-5m-1781431200,1781431387,1781431200,1781431500,0.2250000000,64552.3900000000,-0.0007229204,-0.0009844311,-0.0003346548,0.0003118671,Down,0
btc-updown-5m-1781431500,1781431684,1781431500,1781431800,0.1250000000,64526.2400000000,-0.0001908936,-0.0004050973,-0.0011731829,0.0002507831,Down,0
btc-updown-5m-1781431800,1781431989,1781431800,1781432100,0.1350000000,64527.1500000000,0.0004381471,0.0000141028,-0.0013750464,0.0003379673,Down,0
btc-updown-5m-1781432100,1781432284,1781432100,1781432400,0.8650000000,64556.0300000000,0.0000000000,0.0004475635,0.0000563883,0.0002767560,Up,1
btc-updown-5m-1781432400,1781432587,1781432400,1781432700,0.9550000000,64615.0000000000,0.0001852854,0.0009134701,0.0013755644,0.0003027846,Up,1
btc-updown-5m-1781432700,1781432884,1781432700,1781433000,0.0650000000,64598.0000000000,-0.0001312562,-0.0002630968,0.0010979874,0.0002421660,Down,0
btc-updown-5m-1781433000,1781433184,1781433000,1781433300,0.9250000000,64631.6900000000,-0.0000666811,0.0005215332,0.0011720052,0.0002430617,Up,1
btc-updown-5m-1781433300,1781433485,1781433300,1781433600,0.2750000000,64638.0100000000,-0.0001141613,0.0000977848,0.0003561093,0.0002327521,Down,0
btc-updown-5m-1781433600,1781433784,1781433600,1781433900,0.0950000000,64606.0100000000,-0.0000716600,-0.0004950647,0.0001239976,0.0002358238,Down,0
btc-updown-5m-1781433900,1781434083,1781433900,1781434200,0.0250000000,64561.6500000000,-0.0000384114,-0.0006866234,-0.0010836789,0.0002353164,Down,0
btc-updown-5m-1781434200,1781434384,1781434200,1781434500,0.9350000000,64561.6500000000,-0.0000240075,0.0000000000,-0.0011813483,0.0002294897,Up,1
btc-updown-5m-1781434500,1781434684,1781434500,1781434800,0.0450000000,64531.4500000000,0.0000000000,-0.0004677700,-0.0011540722,0.0002298914,Down,0
btc-updown-5m-1781434800,1781434985,1781434800,1781435100,0.0650000000,64478.0100000000,-0.0003410852,-0.0008281233,-0.0012955059,0.0002100062,Down,0
btc-updown-5m-1781435100,1781435284,1781435100,1781435400,0.8450000000,64513.7100000000,0.0002125581,0.0005536771,-0.0007425461,0.0002199516,Up,1
btc-updown-5m-1781435400,1781435588,1781435400,1781435700,0.9650000000,64549.0700000000,-0.0000763702,0.0005481006,0.0002730452,0.0002145435,Up,1
btc-updown-5m-1781435700,1781435886,1781435700,1781436000,0.1150000000,64542.4500000000,0.0000379610,-0.0001025576,0.0009994105,0.0001776323,Down,0
btc-updown-5m-1781436000,1781436184,1781436000,1781436300,0.7450000000,64548.0200000000,0.0003152136,0.0000862998,0.0005318249,0.0002311980,Up,1
btc-updown-5m-1781436300,1781436484,1781436300,1781436600,0.9150000000,64574.1500000000,-0.0000904305,0.0004048149,0.0003885416,0.0002536816,Up,1
btc-updown-5m-1781436600,1781436784,1781436600,1781436900,0.9250000000,64611.3600000000,0.0000000000,0.0005762368,0.0010676694,0.0002479029,Up,1
btc-updown-5m-1781436900,1781437085,1781436900,1781437200,0.4750000000,64623.9200000000,0.0000003095,0.0001943931,0.0011758688,0.0001857222,Down,0
btc-updown-5m-1781437200,1781437395,1781437200,1781437500,0.4550000000,64619.0100000000,-0.0001046022,-0.0000759781,0.0006947052,0.0001200658,Down,0
btc-updown-5m-1781437500,1781437684,1781437500,1781437800,0.1950000000,64598.0400000000,-0.0000582027,-0.0003245175,-0.0002061557,0.0001029106,Up,1
btc-updown-5m-1781437800,1781437986,1781437800,1781438100,0.5050000000,64629.9400000000,-0.0000001547,0.0004938230,0.0000931544,0.0001137659,Down,0
btc-updown-5m-1781438100,1781438285,1781438100,1781438400,0.0650000000,64560.0000000000,0.0000929454,-0.0010821610,-0.0009131988,0.0002158397,Down,0
btc-updown-5m-1781438400,1781438584,1781438400,1781438700,0.4850000000,64555.7200000000,-0.0000181235,-0.0000662949,-0.0006551282,0.0002356905,Up,1
btc-updown-5m-1781438700,1781438888,1781438700,1781439000,0.0750000000,64501.1900000000,-0.0000745667,-0.0008446966,-0.0019921108,0.0002360410,Down,0
btc-updown-5m-1781439000,1781439184,1781439000,1781439300,0.4250000000,64506.5500000000,0.0000003100,0.0000830992,-0.0008279120,0.0002312339,Down,0
btc-updown-5m-1781439300,1781439484,1781439300,1781439600,0.5550000000,64500.0000000000,0.0000624845,-0.0001015401,-0.0008631303,0.0002485395,Down,0
btc-updown-5m-1781439600,1781439784,1781439600,1781439900,0.9450000000,64497.2500000000,-0.0001044897,-0.0000426357,-0.0000610841,0.0002508396,Up,1
btc-updown-5m-1781439900,1781440084,1781439900,1781440200,0.1650000000,64466.0100000000,-0.0001549414,-0.0004843617,-0.0006284633,0.0002188203,Down,0
btc-updown-5m-1781440200,1781440386,1781440200,1781440500,0.0350000000,64396.5900000000,-0.0002701277,-0.0010768465,-0.0016032558,0.0002758571,Down,0
btc-updown-5m-1781440500,1781440686,1781440500,1781440800,0.0450000000,64342.8900000000,0.0001891787,-0.0008338951,-0.0023932803,0.0002733982,Down,0
btc-updown-5m-1781440800,1781440984,1781440800,1781441100,0.6150000000,64355.4200000000,0.0000630911,0.0001947379,-0.0017154777,0.0002822185,Up,1
btc-updown-5m-1781441100,1781441284,1781441100,1781441400,0.0650000000,64323.5600000000,0.0001270302,-0.0004950632,-0.0011340663,0.0002371048,Down,0
btc-updown-5m-1781441400,1781441584,1781441400,1781441700,0.1250000000,64298.9000000000,-0.0000615836,-0.0003833743,-0.0006836808,0.0001776375,Down,0
btc-updown-5m-1781441700,1781441902,1781441700,1781442000,0.8550000000,64325.1700000000,-0.0000041974,0.0004085606,-0.0004700459,0.0001936501,Up,1
