scenario,dimension,segment,signals,pnl,expectancy,max_drawdown
extreme_execution,session_number,2,42,-0.3250384018819733,-0.007739009568618412,0.3282079018819732
extreme_execution,session_number,3,166,-7.255468796490274,-0.04370764335235105,7.257023352634481
extreme_execution,asset,BTC,76,-3.677940413597286,-0.04839395281049061,3.7054564682879443
extreme_execution,asset,ETH,80,-2.541807279290187,-0.031772590991127336,2.597168136632027
extreme_execution,asset,SOL,182,-5.496811670590395,-0.030202261926320854,5.498261670590393
extreme_execution,side,NO,210,-5.824172464939858,-0.027734154594951706,5.825622464939857
extreme_execution,side,YES,128,-5.89238689853801,-0.046034272644828206,5.908738632879306
extreme_execution,external_move_regime,high,12,-0.2516606275378992,-0.020971718961491602,0.2516606275378992
extreme_execution,external_move_regime,low,267,-9.127874379648569,-0.034186795429395386,9.167537205275668
extreme_execution,external_move_regime,medium,59,-2.337024356291401,-0.03961058231002375,2.3370243562914004
extreme_execution,spread_regime,high,31,-1.6932239617905571,-0.05462012779969539,1.6932239617905571
extreme_execution,spread_regime,low,27,-1.7824176287617337,-0.06601546773191606,1.782417628761734
extreme_execution,spread_regime,medium,280,-8.240917772925577,-0.02943184918901992,8.242367772925578
extreme_execution,quote_age_regime,high,26,-0.008491900000000024,-0.0003266115384615394,0.037068500000000004
extreme_execution,quote_age_regime,low,33,-0.7427614445673243,-0.02250792256264619,0.7443160007115307
extreme_execution,quote_age_regime,medium,279,-10.965306018910544,-0.03930217211079048,10.965306018910546
fill_impairment_only,session_number,1,130,0.1579045,0.0012146499999999998,0.6077950000000001
fill_impairment_only,session_number,2,42,0.2182064999999999,0.005195392857142854,0.07880400000000001
fill_impairment_only,session_number,3,166,1.872079,0.011277584337349399,0.21140999999999993
fill_impairment_only,asset,BTC,76,1.167274,0.015358868421052631,0.46189700000000006
fill_impairment_only,asset,ETH,80,0.5814579999999999,0.007268224999999999,0.15903600000000007
fill_impairment_only,asset,SOL,182,0.499458,0.0027442747252747254,0.18519200000000002
fill_impairment_only,side,NO,210,1.7902784999999999,0.008525135714285714,0.40290600000000015
fill_impairment_only,side,YES,128,0.4579115000000001,0.0035774335937500006,0.23447849999999998
fill_impairment_only,external_move_regime,high,12,0.34288500000000005,0.028573750000000005,0.052362000000000006
fill_impairment_only,external_move_regime,low,267,1.1052285,0.004139432584269662,0.5937030000000001
fill_impairment_only,external_move_regime,medium,59,0.8000764999999999,0.013560618644067796,0.16310000000000002
fill_impairment_only,spread_regime,high,31,-0.01164999999999993,-0.00037580645161290095,0.163381
fill_impairment_only,spread_regime,low,27,0.09236999999999992,0.0034211111111111083,0.11208250000000002
fill_impairment_only,spread_regime,medium,280,2.16747,0.007740964285714285,0.6145950000000001
fill_impairment_only,quote_age_regime,high,26,0.49434950000000005,0.019013442307692308,0.1068
fill_impairment_only,quote_age_regime,low,33,-0.11027149999999991,-0.0033415606060606035,0.24673999999999996
fill_impairment_only,quote_age_regime,medium,279,1.8641119999999998,0.006681405017921146,0.6118120000000001
latency_only,session_number,1,130,-4.676251802775111,-0.035971167713654696,5.571914837561781
latency_only,session_number,2,42,-1.1561822996248585,-0.02752814999106806,1.6644699216160528
latency_only,session_number,3,166,-2.1542046986243073,-0.012977136738700646,2.751916699536029
latency_only,asset,BTC,76,-0.6359823845681201,-0.008368189270633158,1.6720650502381997
latency_only,asset,ETH,80,-0.9626940611554725,-0.012033675764443407,1.5312012761031173
latency_only,asset,SOL,182,-6.387962355300684,-0.03509869425989387,6.461525054907139
latency_only,side,NO,210,-6.283205742066608,-0.02992002734317432,6.39375578340862
latency_only,side,YES,128,-1.703433058957669,-0.013308070773106789,2.6102574838209076
latency_only,external_move_regime,high,12,0.5153196849115806,0.042943307075965054,0.28497028007322883
latency_only,external_move_regime,low,267,-6.9511971216444755,-0.02603444614848118,7.450573813428718
latency_only,external_move_regime,medium,59,-1.5507613642913813,-0.026284090920192904,2.070079410158241
latency_only,spread_regime,high,31,-2.4482404570502707,-0.07897549861452487,2.6401014386418247
latency_only,spread_regime,low,27,-0.9368279913290164,-0.03469733301218579,1.1896443133630974
latency_only,spread_regime,medium,280,-4.601570352644989,-0.016434179830874963,5.238753627940716
latency_only,quote_age_regime,high,26,1.8015249409937477,0.06928942080745183,0.44000000000000006
latency_only,quote_age_regime,low,33,-0.21561017715277828,-0.006533641731902372,0.5879052732084964
latency_only,quote_age_regime,medium,279,-9.572553564865245,-0.03431022783105823,9.58935155880213
moderate_execution,session_number,1,130,-2.5420581021631374,-0.019554293093562596,2.910020162613296
moderate_execution,session_number,2,42,-0.5485903664546019,-0.013061675391776236,0.592014754505948
moderate_execution,session_number,3,166,-2.1870514629335895,-0.01317500881285295,2.2126261307196176
moderate_execution,asset,BTC,76,-1.099125806327387,-0.01446218166220246,1.6422731751603707
moderate_execution,asset,ETH,80,-0.9017594952068259,-0.011271993690085323,1.0728874339438783
moderate_execution,asset,SOL,182,-3.276814630017116,-0.018004475989105033,3.276814630017115
moderate_execution,side,NO,210,-3.005290690145646,-0.0143109080483126,3.027390690145645
moderate_execution,side,YES,128,-2.272409241405683,-0.0177531971984819,2.5932380771726105
moderate_execution,external_move_regime,high,12,0.13491057412981738,0.011242547844151449,0.11678217332257582
moderate_execution,external_move_regime,low,267,-4.776028412816013,-0.01788774686447945,4.918252593220274
moderate_execution,external_move_regime,medium,59,-0.6365820928651339,-0.010789526997714132,0.851572926331786
moderate_execution,spread_regime,high,31,-1.241830183837497,-0.040059038188306355,1.3028552245922065
moderate_execution,spread_regime,low,27,-0.4270895155242693,-0.015818130204602567,0.42708951552426944
moderate_execution,spread_regime,medium,280,-3.6087802321895626,-0.012888500829248438,3.7018807228445954
moderate_execution,quote_age_regime,high,26,0.38633124704968735,0.014858894117295669,0.1252
moderate_execution,quote_age_regime,low,33,-0.6789646751724537,-0.020574687126437993,0.6884553644655036
moderate_execution,quote_age_regime,medium,279,-4.985066503428563,-0.01786762187608804,4.985066503428562
quote_age_only,session_number,1,130,-2.5976860551680345,-0.019982200424369496,3.625255703354224
quote_age_only,session_number,2,42,0.3856900472485465,0.009183096363060632,0.83284784978691
quote_age_only,session_number,3,166,2.7410299996195566,0.016512228913370824,0.5529695525928806
quote_age_only,asset,BTC,76,1.2696672632148613,0.016706148200195545,1.030727032199874
quote_age_only,asset,ETH,80,0.8384220471818268,0.010480275589772834,0.7603910567367897
quote_age_only,asset,SOL,182,-1.5790553186966196,-0.008676128124706702,2.513905091705231
quote_age_only,side,NO,210,-0.46110487193263944,-0.002195737485393521,2.409544073919229
quote_age_only,side,YES,128,0.9901388636327081,0.007735459872130532,1.440282768517273
quote_age_only,external_move_regime,high,12,0.8173457746507641,0.06811214788756367,0.1695930739641648
quote_age_only,external_move_regime,low,267,-0.7362305087833372,-0.0027574176358926487,2.8181367889713504
quote_age_only,external_move_regime,medium,59,0.44791872583264164,0.00759184281072274,1.1746776034419601
quote_age_only,spread_regime,high,31,-1.2198469031687413,-0.039349900102217464,1.4141754544930822
quote_age_only,spread_regime,low,27,-0.34195602931271396,-0.01266503812269311,0.9015556043825588
