trial,sample_size,wins,win_rate,pnl_before_slippage,pnl_after_slippage,expectancy_after_slippage,max_drawdown,signals_per_hour
696,172,94,0.5465116279069767,1.3445,-2.0955,-0.01218313953488372,2.3955,7.16666655045718
697,172,80,0.46511627906976744,-0.7105,-4.1505,-0.024130813953488373,4.1505,7.16666655045718
698,172,89,0.5174418604651163,1.5145,-1.9255,-0.01119476744186047,2.0705,7.16666655045718
699,172,82,0.47674418604651164,-0.462,-3.902,-0.02268604651162791,3.922,7.16666655045718
700,172,83,0.48255813953488375,0.587,-2.853,-0.01658720930232558,3.018,7.16666655045718
701,172,69,0.4011627906976744,-1.5345,-4.9745,-0.028921511627906977,5.2145,7.16666655045718
702,172,72,0.4186046511627907,-0.9115,-4.3515,-0.02529941860465116,4.3815,7.16666655045718
703,172,86,0.5,-0.2385,-3.6785,-0.021386627906976746,3.8035,7.16666655045718
704,172,84,0.4883720930232558,-0.199,-3.639,-0.021156976744186044,3.8415,7.16666655045718
705,172,79,0.45930232558139533,0.296,-3.144,-0.018279069767441862,3.514,7.16666655045718
706,172,81,0.47093023255813954,-0.3355,-3.7755,-0.021950581395348837,3.8955,7.16666655045718
707,172,83,0.48255813953488375,0.4435,-2.9965,-0.017421511627906977,3.0945,7.16666655045718
708,172,84,0.4883720930232558,1.1225,-2.3175,-0.013473837209302328,2.5575,7.16666655045718
709,172,85,0.4941860465116279,1.016,-2.424,-0.014093023255813958,2.594,7.16666655045718
710,172,85,0.4941860465116279,1.0095,-2.4305,-0.014130813953488374,2.5875,7.16666655045718
711,172,86,0.5,-0.1135,-3.5535,-0.02065988372093024,3.6335,7.16666655045718
712,172,79,0.45930232558139533,-0.395,-3.835,-0.022296511627906978,3.905,7.16666655045718
713,172,83,0.48255813953488375,0.3715,-3.0685,-0.01784011627906977,3.2735,7.16666655045718
714,172,83,0.48255813953488375,0.36,-3.08,-0.01790697674418605,3.2045,7.16666655045718
715,172,75,0.436046511627907,-1.8215,-5.2615,-0.030590116279069768,5.2915,7.16666655045718
716,172,82,0.47674418604651164,-0.2515,-3.6915,-0.02146220930232558,3.7015,7.16666655045718
717,172,92,0.5348837209302325,0.8415,-2.5985,-0.015107558139534884,2.8085,7.16666655045718
718,172,76,0.4418604651162791,-0.2375,-3.6775,-0.021380813953488374,3.7475,7.16666655045718
719,172,83,0.48255813953488375,-0.1715,-3.6115,-0.020997093023255815,3.7415,7.16666655045718
720,172,76,0.4418604651162791,-0.4235,-3.8635,-0.02246220930232558,3.9735,7.16666655045718
721,172,79,0.45930232558139533,-0.4805,-3.9205,-0.022793604651162792,3.9205,7.16666655045718
722,172,83,0.48255813953488375,0.454,-2.986,-0.017360465116279075,3.086,7.16666655045718
723,172,71,0.4127906976744186,-0.8935,-4.3335,-0.025194767441860468,4.3635,7.16666655045718
724,172,73,0.42441860465116277,-1.692,-5.132,-0.02983720930232558,5.162,7.16666655045718
725,172,70,0.4069767441860465,-2.043,-5.483,-0.03187790697674419,5.483,7.16666655045718
