wallet_id,profile_url,total_lifecycle_positions,still_open_positions,partial_exits,full_exits,oversold_bounded_history,average_position_size,median_position_size,average_buy_count_per_lifecycle,average_sell_count_per_lifecycle,average_events_per_lifecycle,percentage_still_open_positions,percentage_sell_only_lifecycles,buy_trade_count,sell_trade_count,total_visible_bought_size,total_visible_sold_size,remaining_visible_size,oversold_visible_size,near_flat_residual_count,fast_crypto_lifecycle_count,fast_crypto_lifecycle_share,dominant_asset,asset_concentration,dominant_outcome,outcome_concentration
0x29a55c2bf8efd1029c001477b34be47d3ca37752,https://polymarket.com/0x29a55c2bf8efd1029c001477b34be47d3ca37752,64,54,3,3,4,52.310587140625,28.02,2.546875,0.53125,3.078125,0.84375,0.03125,163,34,3183.487577,891.19,2565.607577,273.31,0,57,0.890625,ETH,1,Up,0.59375
0x2c3ef176341ced9b0c5456d355d58fc0832e282d,https://polymarket.com/0x2c3ef176341ced9b0c5456d355d58fc0832e282d,200,200,0,0,0,1.91295,1.88,1,0,1,1,0,200,0,382.59,0,382.59,0,0,200,1,BTC,1,Down,1
0x2e554602dbe0d9549fd5a356892f3f7ddb28c549,https://polymarket.com/0x2e554602dbe0d9549fd5a356892f3f7ddb28c549,121,92,10,19,0,12.44696938016528925619834711,5,1.247933884297520661157024793,0.4049586776859504132231404959,1.652892561983471074380165289,0.7603305785123966942148760331,0,151,49,1506.083295,135.84,1370.243295,0,3,102,0.8429752066115702479338842975,BTC,0.3553719008264462809917355372,Up,0.537190082644628099173553719
0x3b19d4c9e38af6e6d6923039275d5cfe89bc3655,https://polymarket.com/0x3b19d4c9e38af6e6d6923039275d5cfe89bc3655,109,109,0,0,0,12.21168267889908256880733945,7.142856,1.11009174311926605504587156,0,1.11009174311926605504587156,1,0,121,0,1331.073412,0,1331.073412,0,0,107,0.9816513761467889908256880734,BTC,0.9816513761467889908256880734,Up,0.5963302752293577981651376147
0x3c6afcbc144b6bb110dbf8538bde2781c24a8a58,https://polymarket.com/0x3c6afcbc144b6bb110dbf8538bde2781c24a8a58,44,9,12,22,1,12.35301470454545454545454545,10,2.590909090909090909090909091,1.954545454545454545454545455,4.545454545454545454545454545,0.2045454545454545454545454545,0,114,86,543.532647,413.532392,134.995255,4.995,4,44,1,BTC,1,Down,0.5909090909090909090909090909
0x4228048ea2f8f571ff2777cc32baee584c5134cb,https://polymarket.com/0x4228048ea2f8f571ff2777cc32baee584c5134cb,78,29,34,15,0,57.57596796153846153846153846,26.005,1.576923076923076923076923077,0.9871794871794871794871794872,2.564102564102564102564102564,0.3717948717948717948717948718,0,123,77,4490.925501,1526.17,2964.755501,0,3,62,0.7948717948717948717948717949,ETH,0.3461538461538461538461538462,Down,0.5128205128205128205128205128
0x47d7dfd8b93e656d44ed173c848203e05982113a,https://polymarket.com/0x47d7dfd8b93e656d44ed173c848203e05982113a,51,51,0,0,0,24.95133250980392156862745098,15,3.921568627450980392156862745,0,3.921568627450980392156862745,1,0,200,0,1272.517958,0,1272.517958,0,0,51,1,BTC,1,Down,0.5098039215686274509803921569
0x4a0b6dacb223f1126080048826f0271dbe31ff39,https://polymarket.com/0x4a0b6dacb223f1126080048826f0271dbe31ff39,50,20,30,0,0,53.64233524,30.948686,1.5,0.78,2.28,0.4,0,75,39,2682.116762,1082.14,1599.976762,0,22,48,0.96,BTC,0.76,Down,0.52
0x4af813b3fc6038c55d06ce21531e9dceab093b6d,https://polymarket.com/0x4af813b3fc6038c55d06ce21531e9dceab093b6d,16,16,0,0,0,29.114588,22.6196875,8.5,0,8.5,1,0,136,0,465.833408,0,465.833408,0,0,16,1,BTC,1,Down,0.5
0x4bfb3f47ad1a0b494ecaa3c1a9bfba22a4c39f3a,https://polymarket.com/0x4bfb3f47ad1a0b494ecaa3c1a9bfba22a4c39f3a,110,50,47,12,1,30.44099975454545454545454545,16.666665,1.209090909090909090909090909,0.6090909090909090909090909091,1.818181818181818181818181818,0.4545454545454545454545454545,0.009090909090909090909090909091,133,67,3323.509973,1118.23,2230.279973,25,29,110,1,BTC,1,Down,0.5272727272727272727272727273
0x4d0730b1c8b4da2444ab7a4a389a607584132b94,https://polymarket.com/0x4d0730b1c8b4da2444ab7a4a389a607584132b94,152,136,13,2,1,10.15083697368421052631578947,9.615383,1.184210526315789473684210526,0.1315789473684210526315789474,1.315789473684210526315789474,0.8947368421052631578947368421,0.006578947368421052631578947368,180,20,1531.29722,166,1376.92722,11.63,8,75,0.4934210526315789473684210526,other,0.5065789473684210526315789474,Up,0.5460526315789473684210526316
0x54afeb88e709fbfb7e75a1ab8275ed4f0b333130,https://polymarket.com/0x54afeb88e709fbfb7e75a1ab8275ed4f0b333130,83,81,2,0,0,38.38073354216867469879518072,33.692881,2.373493975903614457831325301,0.03614457831325301204819277108,2.409638554216867469879518072,0.9759036144578313253012048193,0,197,3,3185.600884,201.88,2983.720884,0,2,83,1,BTC,1,Down,0.5060240963855421686746987952
0x594edb9112f526fa6a80b8f858a6379c8a2c1c11,https://polymarket.com/@0x594edB9112f526Fa6A80b8F858A6379C8A2c1C11,39,39,0,0,0,2442.273393615384615384615385,219.975875,5.128205128205128205128205128,0,5.128205128205128205128205128,1,0,200,0,95248.662351,0,95248.662351,0,0,0,0,other,1,Yes,0.5128205128205128205128205128
0x59e9593d9ad358947577a51f2c2d32b49cff2f9d,https://polymarket.com/0x59e9593d9ad358947577a51f2c2d32b49cff2f9d,132,132,0,0,0,43.10712741666666666666666667,47.88,1.515151515151515151515151515,0,1.515151515151515151515151515,1,0,200,0,5690.140819,0,5690.140819,0,0,132,1,BTC,1,Up,0.5151515151515151515151515152
0x60ca7ed001bb8496c50fde95329f6a8fa756f86e,https://polymarket.com/0x60ca7ed001bb8496c50fde95329f6a8fa756f86e,190,190,0,0,0,12.40881228947368421052631579,13.4557685,1.052631578947368421052631579,0,1.052631578947368421052631579,1,0,200,0,2357.674335,0,2357.674335,0,0,82,0.4315789473684210526315789474,other,0.5684210526315789473684210526,Down,0.5421052631578947368421052632
0x63ce342161250d705dc0b16df89036c8e5f9ba9a,https://polymarket.com/0x63ce342161250d705dc0b16df89036c8e5f9ba9a,7,5,2,0,0,25890.21556228571428571428571,1139.125158,28,0.5714285714285714285714285714,28.57142857142857142857142857,0.7142857142857142857142857143,0,196,4,181231.508936,175257.14,5974.368936,0,1,6,0.8571428571428571428571428571,BTC,0.4285714285714285714285714286,Down,0.4285714285714285714285714286
0xd0d6053c3c37e727402d84c14069780d360993aa,https://polymarket.com/@k9Q2mX4L8A7ZP3R,13,8,2,0,3,252.2715883846153846153846154,215.54,11.92307692307692307692307692,3.461538461538461538461538462,15.38461538461538461538461538,0.6153846153846153846153846154,0.2307692307692307692307692308,155,45,2792.970649,1181.761164,2097.769485,486.56,0,11,0.8461538461538461538461538462,BTC,0.5384615384615384615384615385,Up,0.5384615384615384615384615385
0xde17f7144fbd0eddb2679132c10ff5e74b120988,https://polymarket.com/0xde17f7144fbd0eddb2679132c10ff5e74b120988,30,30,0,0,0,444.7308583,89.15106,6.666666666666666666666666667,0,6.666666666666666666666666667,1,0,200,0,13341.925749,0,13341.925749,0,0,0,0,BTC,1,No,0.5666666666666666666666666667
0xde79cc7660d5c05b4cd2f4e72cae30cde2583d9a,https://polymarket.com/0xde79cc7660d5c05b4cd2f4e72cae30cde2583d9a,89,48,41,0,0,164.8451672584269662921348315,93.197969,1.775280898876404494382022472,0.471910112359550561797752809,2.247191011235955056179775281,0.5393258426966292134831460674,0,158,42,14671.219886,8477.57994,6193.639946,0,11,89,1,BTC,1,Down,0.5617977528089887640449438202
